1,1
2,1
3,2
4,2
5,3
6,3
7,4
8,4
9,5
10,5
11,6
12,6
13,7
14,7
15,8
16,9
17,9
18,10
19,10
20,11
21,11
22,12
23,12
24,13
25,14
26,14
27,15
28,15
29,16
30,16
31,17
32,18
33,18
34,18
36,18
35,19
37,19
38,19
39,19
42,20
43,20
44,20
45,20
48,21
49,21
50,21
51,21
54,22
55,22
56,22
57,22
60,23
61,23
62,23
63,23
64,24
65,24
66,24
67,24
68,25
69,25
70,25
71,25
72,26
73,26
74,26
75,26
76,27
77,27
78,27
79,27
80,28
81,28
82,28
83,28
84,29
85,29
86,29
87,29
88,30
89,30
90,30
91,30
92,31
93,31
94,31
95,31
96,32
97,32
98,32
99,32
100,33
101,33
102,33
103,33
104,34
105,34
106,34
107,34
108,35
109,35
110,35
111,35
112,36
113,36
114,36
115,36
116,37
117,37
118,37
119,37
120,38
121,38
122,38
123,38
124,39
125,39
126,39
127,39
128,40
129,40
130,40
131,40
132,41
133,41
134,41
135,41
136,42
137,42
138,42
139,42
140,43
141,43
142,43
143,43
144,44
145,44
146,44
147,44
148,45
149,45
150,45
151,45
